id;bezirk;name;shortname;strasse;plz_ort;von;bis;veranstalter;oeffnungszeiten;email;w3;bemerkungen;lat;lng;rss_titel;barrierefrei;immer-kostenlos;Mo;Di;Mi;Do;Fr;Sa;So;closed-exc;closed-exc-readable;hours-exc;hours-exc-readable;ignore;merged;international;action;image;urheberschaft;train;train_distance;short_distance;rss_beschreibung;;
1;Altlindenau;Der kauzige Wintermarkt;Der kauzige Wintermarkt;Jahnallee 52;04177 Leipzig;22.11.23;28.01.24;Herr Kauz;16:00-22:00;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/der-kauzige-wintermarkt-20231129;<a class='text-sm underline' target='blank' href='https://www.facebook.com/events/349672897722976/349672987722967/'>Facebook-Seite</a>;51.338934;12.3424501;Der kauzige Wintermarkt;unbekannt;1;0;0;16:00-22:00;16:00-22:00;16:00-22:00;16:00-22:00;16:00-22:00;27.11.23,28.11.23,04.12.23,05.12.23,11.12.23,12.12.23,18.12.23,19.12.23,25.12.23,26.12.23,01.01.24,02.01.24,08.01.24,09.01.24,15.01.24,16.01.24,22.01.24,23.01.24;Montag und Dienstag;0;;0;;1;1;;;Sportforum Süd, Straßenbahn 3, 7, 8 oder 15;501;0;Der kauzige Wintermarkt mit Marktständen, Musik und PartyParty nach dem Wintermarkt Mittwoch und Donnerstag – ab 21:00 UhrApres Party mit den beliebtesten Apres Ski Hits Freitag – ab 22:00 UhrKauzige Themenabende (Latino / 80er / 90er & 2000er / RnB & HipHop / Querbeet) Samtag – ab 22:00 UhrKauzTanz mit Pop, Rock und Hip Hop – Klassiker der 80er, 90er und 2000er / Melodic House & Techno Sonntag ab 18:00 bis 22:00 UhrMittwoch bis Sonntag immer 16:00 Uhr bis 22:00 Uhr;;
2;Markranstädt;15. Markranstädter Weihnachtsmarkt;Markranstädter Weihnachtsmarkt;Marktplatz 1;04420 Markranstädt;09.12.23;09.12.23;mehrere;15:00-23:59;;https://www.markranstaedt.de/de/veranstaltungsbeschreibung/event/20652,9/15-markranstaedter-weihnachtsmarkt-09-12-2023.html;;51.3019336;12.220582363130251;15. Markranstädter Weihnachtsmarkt;unbekannt;1;0;0;0;0;0;15:00-23:59;0;0;;0;;0;;0;0;;;Bus 65 bis 'Markranstädt, Schulstr. (Markt)';65;1;u.a. Wettbewerb um den 'Besten Stollen Markranstädts 2023';;
3;Holzhausen;Weihnachtsmarkt am Zuckelhausener Teich;Zuckelhausener Teich;Zuckelhausener Teich;04288 Leipzig;16.12.23;16.12.23;Heimatverein Holzhausen e.V.;14:00-23:59;heimatvereinholzhausensachsen(at)web(dot)de;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/weihnachtsmarkt-1;;51.30342633572286;12.452355509581167;Weihnachtsmarkt am Zuckelhausener Teich;unbekannt;1;0;0;0;0;0;14:00-23:59;0;0;;0;;0;;0;0;;;Bus 74 bis Haltestelle 'Leipzig, Zuckelhausen';148;1;auch im Heimatverein und an der Kirche;;
4;Kleinzschocher;Advent in den Hinterhöfen Kleinzschochers;Advent in Kleinzschocher;Baumannstr. 16, Eythraer Str. 8, Windorfer Str. 44, 45 a und 55, Gießerstr. 75, Creuziger Str. 2, Luckaer Str. 16, Panitzstr. 2, Außengelände der Turnhalle Dieskaustraße 79, Pörstener Str. 9, Klarastr. 35;04229 Leipzig;16.12.23;16.12.23;Kleinzschocher;14:00-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/advent-in-den-hoefen-kleinzschochers;;51.3151051;12.327702615219494;Advent in den Hinterhöfen Kleinzschochers;unbekannt;1;0;0;0;0;0;14:00-23:59;0;0;;0;;0;;0;0;;;Straßenbahn 3 bis Haltstelle 'Adler';381;1;Orte: Baumannstr. 16, Eythraer Str. 8, Windorfer Str. 44, 45 a und 55, Gießerstr. 75, Creuziger Str. 2, Luckaer Str. 16, Panitzstr. 2, Außengelände der Turnhalle Dieskaustraße 79, Pörstener Str. 9, Klarastr. 35;;
5;Markkleeberg;Adventsmarkt Kees'scher Park;Brot & Kees;Lauersche Str.;04416 Markkleeberg;03.12.23;17.12.23;Kees'scher Park;11:00-18:00;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/adventsmarkt-20231203;<a class='text-sm underline' target='blank' href='https://kalender.markkleeberg.de/node/5200?time=2023-12-03T11%3A00%3A00'>Offizielle Seite</a>;51.27981792051426;12.35611786931463;Adventsmarkt Kees'scher Park;unbekannt;1;0;0;0;0;0;0;11:00-18:00;0;Montag - Freitag;0;;0;;0;0;;;Bus 65 bis 'Markkleeberg, Mehringstraße';158;1;Adventsstimmung mit Händlern aus der Region, handgemachtem und weihnachtlichen Glühwein, Waffeln, Bratwurst, heißer Schokolade...;;
6;Gohlis-Süd;Adventsmarkt im Kulturhof Gohlis;Adventsmarkt im Kulturhof Gohlis;Eisenacher Str. 72;04155 Leipzig;02.12.23;03.12.23;Kulturhof Gohlis;13:00-20:00;post@kulturhof-gohlis.de;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/adventsmarkt-6;<a class='text-sm underline' target='blank' href='https://kulturhof-gohlis.de/'>Offizielle Seite</a>;51.3623866;12.3592455;Adventsmarkt im Kulturhof Gohlis;unbekannt;1;0;0;0;0;0;13:00-20:00;11:00-18:00;0;;03.12.23=11:00-18:00;;0;;0;0;;; Straßenbahnen Linie 10,11 (Haltestelle Wiederitzscher Str.) und der Linie 4 (Haltestelle Lindenthaler Str.);279;1;Rund 20 Ausstellerinnen und Aussteller nehmen am diesjährigen Adventsmarkt im Kulturhof Gohlis teil: Stände mit Modeaccessoires, Keramik und Porzellan, feiner, erlesener Schmuck, Feinkost, Naturkosmetik, wunderschöne Papeterie, Filzkunst, allerlei Wohnaccessoires und vieles mehr bieten den Besucherinnen eine wunderbare Auswahl an Geschenkideen. Alle Aussteller sind Designerinnen, Kunsthandwerker und Manufakturen aus Leipzig und Umgebung. Der Markt findet im Kulturhof Gohlis – im schönen Ambiente des Werkcafés und den Räumlichkeiten der Musikschule Neue Musik Leipzig – statt. Musikalische Beiträge stimmen auf den Advent ein. Für die kulinarischen Genüsse sorgen vor allem die Damen der ehemaligen Chocolaterie, die seit Jahresbeginn das Werkcafé in persona mit ihren liebevoll hausgemachten Köstlichkeiten beglücken.Samstag, 02.12.2023, 13 bis 20 UhrSonntag, 03.12.2023, 11 bis 18 UhrEintritt frei;;
7;Hohenheida;Adventsmarkt und Kerzenziehen;Adventsmarkt und Kerzenziehen;Bienenweg 14;04346 Leipzig;17.12.23;17.12.23;Imkerei Beer;11:00-18:00;;https://www.facebook.com/events/186225487883686/;;51.419213301086245;12.451029922691248;Adventsmarkt und Kerzenziehen;unbekannt;1;0;0;0;0;0;0;11:00-18:00;0;;0;;0;;0;1;;;Bus 86 bis 'Hohenheida (Leipzig), Lindengasse';334;1;Adventsmarkt und Kerzenziehen. Sonntags am 3. Advent von 11 - 18 Uhr wird es in der Imkerei Beer entspannt, gemütlich und weihnachtlich.;;
8;Dölitz-Dösen;Dölitzer Adventsmarkt;Dölitzer Adventsmarkt;Vollhardtstraße 16;04279 Leipzig;03.12.23;03.12.23;Dölitzer Wassermühle;13:00-18:00;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/adventsmarkt-1;<a class='text-sm underline' target='blank' href='http://www.doelitzer-wassermuehle.de'>Offizielle Seite</a>;51.288879550000004;12.3879410063287;Dölitzer Adventsmarkt;unbekannt;1;0;0;0;0;0;0;13:00-18:00;0;;0;;0;;0;0;;;Straßenbahn 11 bis 'Friederikenstraße';267;1;Stollenanschnitt, Weihnachtslieder am Feuer, Glühwein trinken und wärmende Suppe aus der Gulaschkanone laden zum Verweilen beim Adventsmarkt auf dem Mühlenhof ein. Der Lehmbackofen wird angeheizt, um die Plätzchen aus der Kinderbackstube zu backen. Honig, Kerzen, Wollmützen, Adventskalender und die ersten kleinen selbstgemachten Geschenke zum Weihnachtsfest können bei Anbietern aus der Region erworben werden.Die Schlossherrin Johanna von Winckler lädt zu Spaziergängen durch das Dölitz des Jahres 1813 ein. Die Führungen stehen dabei unter drei verschiedenen Themen: vor, während und nach der Völkerschlacht in Dölitz.Johanna von Winckler ist im Jahre 1813 die Schlossherrin des Rittergutes Dölitz, ist damals 34 Jahre jung und lebt seit 1810 mit ihrem Mann Major von Winckler im Schloss. Sie kümmert sich um die Wirtschaft auf dem weitläufigen Gut Dölitz, zu dem auch die Dölitzer Wassermühle, die Schmiede und ein Gasthof gehören. Aus Sicht der Schlossherrin schildert die Dölitzerin Urte Grauwinkel das Leben im Jahr 1813 und gibt Einblicke in den Alltag.Eine zweite Themen-Führung hat die Kämpfe in und um Dölitz während der Völkerschlacht zum Thema. Während der Völkerschlacht war das Gut Dölitz heftig umkämpft. Die Führung mit Johanna von Winckler ist auch geeignet, sich mit Kindern und ganz in Familie auf Spurensuche zur Völkerschlacht zu begeben.Wenn Sie eine historische Führung mit Johanna wünschen, wenden Sie sich bitte per Mail an den Dölitzer Bürgerverein unter www.bv-doelitz-online.de oder direkt telefonisch an Frau Grauwinkel 01577-1196875.;;
9;Zwenkau;Hafenweihnacht;Hafenweihnacht;An der Mole 1;04442 Zwenkau;03.12.23;03.12.23;Lions Club Leipzig - Tilia lipsiensis;13:30-23:59;;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/hafenweihnacht;<a class='text-sm underline' target='blank' href='https://www.zwenkauer-see.com/news/detail/041222-hafenweihnacht-am-zwenkauer-see-1-129/'>Offizielle Seite</a>;51.23417845;12.334048942485769;Hafenweihnacht;unbekannt;1;0;0;0;0;0;0;13:30-23:59;0;;0;;0;;0;0;;;Bus 100, 101 oder 107 bis 'Zwenkau Hafen';118;1;;;
10;Liebertwolkwitz;Stiftsgut Liebertwolkwitz;Stiftsgut Liebertwolkwitz;Markt 11;04288 Leipzig;16.12.23;17.12.23;Hofgenossenschaft Stiftsgut Liebertwolkwitz eG;14:00-23:59;info@hofgenossenschaft.de;https://www.leipzig.de/freizeit-kultur-und-tourismus/veranstaltungen-und-termine/eventsingle/event/hof-advent-20231216;<a class='text-sm underline' target='blank' href='https://www.hofgenossenschaft.de/details-registrierung/hof-advent-2023-16-und-17-dezember-2023'>Offizielle Seite</a>;51.2823255;12.464161707847325;Stiftsgut Liebertwolkwitz;unbekannt;1;0;0;0;0;0;14:00-23:59;14:00-23:59;0;;0;;0;;0;0;;;Bus 690 bis 'Leipzig, Schwarzes Ross';423;0;;;
